project,category,repo_url,pinned_ref,expected_level,reviewer_notes
nginx,http_server,https://github.com/nginx/nginx,release-1.27.3,configurable,"ssl_protocols + ssl_ciphers directives in nginx.conf; pure config change to swap suites; OpenSSL provider does the actual algorithm work."
apache-httpd,http_server,https://github.com/apache/httpd,2.4.62,configurable,"SSLProtocol / SSLCipherSuite directives; widely deployed and well-documented agility path."
haproxy,http_server,https://github.com/haproxy/haproxy,v3.0.5,configurable,"ssl-default-bind-ciphers / ssl-default-server-ciphers in haproxy.cfg; runtime ciphers also configurable per bind line."
envoy,http_server,https://github.com/envoyproxy/envoy,v1.32.1,configurable,"TLS context proto allows full cipher_suites + tls_minimum_protocol_version configuration; supports BoringSSL FIPS build variant."
caddy,http_server,https://github.com/caddyserver/caddy,v2.8.4,configurable,"Caddy TLS app exposes protocols + cipher_suites in JSON/Caddyfile; rotates by reload."
traefik,http_server,https://github.com/traefik/traefik,v3.2.0,configurable,"tls.options exposes minVersion + cipherSuites + curvePreferences."
openssh-server,vpn_secure_shell,https://github.com/openssh/openssh-portable,V_9_9_P1,configurable,"sshd_config KexAlgorithms / Ciphers / MACs / HostKeyAlgorithms; reload changes selection."
postfix,mail_server,https://github.com/vdukhovni/postfix,master,configurable,"smtp(d)_tls_protocols + smtp(d)_tls_ciphers + tls_high_cipherlist in main.cf; OpenSSL-backed."
dovecot,mail_server,https://github.com/dovecot/core,2.3.21,configurable,"ssl_protocols + ssl_cipher_list in dovecot.conf."
exim,mail_server,https://github.com/Exim/exim,exim-4.98,configurable,"tls_require_ciphers exim option; supports per-host customisation."
postgresql,database,https://github.com/postgres/postgres,REL_17_2,configurable,"ssl_ciphers + ssl_min_protocol_version GUCs in postgresql.conf; OpenSSL-backed."
mysql-server,database,https://github.com/mysql/mysql-server,mysql-8.4.3,configurable,"tls_version + tls_ciphersuites system variables; YaSSL/OpenSSL pluggable."
mariadb,database,https://github.com/MariaDB/server,mariadb-11.6.2,configurable,"--ssl-cipher / --ssl-protocol command-line + my.cnf options."
mongodb,database,https://github.com/mongodb/mongo,r8.0.3,configurable,"net.tls.cipherConfig + net.tls.disabledProtocols in mongod.conf; FIPS build also supported."
